player_id_global,player_name,club,division,position_tm,availability_pct,total_distance_per90,hi_runs_per90,sprint_runs_per90,n_matches_60plus
Eredivisie:2027,Jakob Breum,Go Ahead Eagles,Eredivisie,DM,78.6,12548.4,46.9,6.6,17.0
Eredivisie:2029,Victor Edvardsen,Go Ahead Eagles,Eredivisie,AM,71.4,10730.2,29.8,15.2,16.0
Eredivisie:2030,Thibo Baeten,Go Ahead Eagles,Eredivisie,RW,82.1,10917.3,35.0,18.0,4.0
Eredivisie:2038,Naci Ünüvar,Heracles Almelo,Eredivisie,LW,71.4,10043.1,30.3,7.7,9.0
Eredivisie:2039,Younes Taha,FC Groningen,Eredivisie,CM,96.4,11323.7,44.0,18.3,27.0
Eredivisie:2042,Mannou Berger,Feyenoord,Eredivisie,CF,7.1,,,,
Eredivisie:2043,Gjivai Zechiël,FC Utrecht,Eredivisie,DM,100.0,10939.8,32.0,10.0,25.0
Eredivisie:2044,Alec Van Hoorenbeeck,Heracles Almelo,Eredivisie,CB,89.3,10490.2,26.5,9.5,20.0
Eredivisie:2045,Dave Kwakman,FC Volendam,Eredivisie,CM,82.1,10672.6,25.2,4.7,8.0
Eredivisie:2048,Troy Parrott,AZ,Eredivisie,CF,82.1,10329.6,40.4,11.4,21.0
Eredivisie:2050,Zidane Aamar Iqbal,FC Utrecht,Eredivisie,AM,32.1,11443.5,33.7,3.4,2.0
Eredivisie:2052,Yoann Cathline,FC Utrecht,Eredivisie,LW,71.4,10072.1,34.1,15.2,15.0
Eredivisie:2057,Daouda Weidmann,FC Twente,Eredivisie,CM,46.4,11619.7,32.1,10.0,3.0
Eredivisie:206,Sergiño Dest,PSV,Eredivisie,LB,85.7,10802.4,30.0,14.6,22.0
Eredivisie:2060,Milan de Haan,FC Volendam,Eredivisie,LW,10.7,,,,
Eredivisie:2063,Josip Sutalo,Ajax,Eredivisie,CB,71.4,10269.3,20.7,5.5,14.0
Eredivisie:2066,Anton Gaaei,Ajax,Eredivisie,LB,82.1,11014.6,31.8,19.5,12.0
Eredivisie:2073,Kodai Sano,N.E.C.,Eredivisie,CM,100.0,10957.1,32.0,8.6,28.0
Eredivisie:2074,Chadwick Booth,Excelsior,Eredivisie,CF,14.3,11949.9,35.2,10.4,1.0
Eredivisie:2075,Yannick Leliendal,FC Volendam,Eredivisie,DM,96.4,9734.0,26.0,10.7,25.0
Eredivisie:2084,Ibrahim Sadiq,AZ,Eredivisie,RW,78.6,9945.7,28.5,11.3,2.0
Eredivisie:2086,,Sparta Rotterdam,Eredivisie,,14.3,,,,
Eredivisie:2095,Tristan Gooijer,PEC Zwolle,Eredivisie,RB,75.0,10400.2,27.7,9.5,12.0
Eredivisie:2104,Tom de Graaff,PEC Zwolle,Eredivisie,GK,100.0,5687.3,0.4,0.0,26.0
Eredivisie:2113,Shunsuke Mito,Sparta Rotterdam,Eredivisie,LW,67.9,11382.4,36.8,16.5,17.0
Eredivisie:2114,Dylan Ruward,PEC Zwolle,Eredivisie,LB,28.6,,,,
Eredivisie:2116,Cedric Hatenboer,Telstar,Eredivisie,CM,35.7,11979.9,37.3,6.9,8.0
Eredivisie:2118,Adrian Blake,FC Utrecht,Eredivisie,RW,71.4,11015.0,29.8,8.7,9.0
Eredivisie:2120,Yvandro Borges Sanches,Heracles Almelo,Eredivisie,AM,42.9,9468.0,26.1,12.0,4.0
Eredivisie:2127,Lucas Vennegoor of Hesselink,FC Twente,Eredivisie,CM,46.4,,,,
Eredivisie:2128,Tjaronn Chery,N.E.C.,Eredivisie,RW,96.4,11492.5,33.8,5.3,26.0
Eredivisie:2137,Anis Hadj Moussa,Feyenoord,Eredivisie,RW,89.3,10140.2,33.6,12.3,23.0
Eredivisie:2138,Søren Tengstedt,Go Ahead Eagles,Eredivisie,DM,28.6,,,,
Eredivisie:2139,Niklas Vesterlund,FC Utrecht,Eredivisie,RB,64.3,11688.0,35.0,12.8,7.0
Eredivisie:2149,Kees Smit,AZ,Eredivisie,DM,78.6,11394.1,34.7,8.3,20.0
Eredivisie:2153,Jaden Slory,Go Ahead Eagles,Eredivisie,RW,57.1,11103.6,39.4,17.8,8.0
Eredivisie:2155,Myron Mau-Asam,FC Volendam,Eredivisie,CM,14.3,,,,
Eredivisie:2162,Jop Tijink,Heracles Almelo,Eredivisie,LB,25.0,,,,
Eredivisie:2163,Tristan Schenkhuizen,Fortuna Sittard,Eredivisie,CM,17.9,,,,
